DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
2099,small molecule,FALSE,N,1.85,-2.8,294.351,294.1480612,53.92,86.41,32.52,2,2,1,13.32,6.81,0,4,T
2118,small molecule,FALSE,Y,2.23,-4,308.765,308.0828741,43.07,98.88,32.22,1,3,0,18.3,5.08,0,4,T
2130,small molecule,TRUE,Y,2.53,-3.2,151.2487,151.1360995,26.02,45.54,17.92,0,1,1,,10.71,1,3,T
2153,small molecule,FALSE,Y,-0.26,-0.9,180.164,180.0647255,69.3,44.93,16.86,0,3,1,7.82,-0.78,0,2,T
2159,small molecule,FALSE,Y,1.5,-3.1,369.479,369.1722271,101.73,99.84,39.82,7,6,2,14.03,7.05,1,2,T
2160,small molecule,FALSE,Y,5.1,-4.8,277.4033,277.1830497,3.24,101.51,33.74,3,1,0,,9.76,1,3,T
2161,small molecule,FALSE,Y,2.76,-3.3,298.2934,298.0953569,102.51,81.43,30.82,2,5,2,4.3,0.87,-1,3,T
2162,small molecule,FALSE,Y,2.22,-4.7,408.876,408.1451996,99.88,108.64,42.29,10,5,2,,9.45,1,2,T
2170,small molecule,FALSE,Y,2.82,-3.3,313.781,313.0981899,36.86,89.82,32.82,0,3,1,,8.83,1,4,T
2179,small molecule,FALSE,Y,4.66,-5.1,393.459,393.1147122,80.32,107.69,41.65,4,5,2,10.82,8.44,1,4,T
2182,small molecule,TRUE,Y,1.95,-3,256.088,254.9966173,44.7,63.25,23.61,0,3,1,12.55,3.62,0,3,T
2187,small molecule,FALSE,Y,2.31,-3.6,293.3663,293.1640456,78.29,97.47,31.97,4,4,0,,2.25,0,2,T
2216,small molecule,FALSE,Y,2.14,-2.8,245.109,244.0282518,62.44,63.79,23.27,1,4,3,,8.48,1,2,T
2249,small molecule,FALSE,Y,0.57,-2.8,266.3361,266.1630426,84.58,73.51,29.98,8,4,3,14.08,9.67,1,1,T
2265,small molecule,TRUE,Y,0.84,-2.4,277.263,277.0381932,118.1,70.95,24.26,3,6,1,8.65,4,0,3,T
